Course Number,Department,Credit Count
average,of 2.0,“C”
College,of Business must complete at least 50%,one-half
HVAC&R,Engineering Design,CERT
and,refrigeration,HVAC&R
ME,431 Building Information Modeling,BIM
Choose,3 Credit,s
Information,Security,CERT
experience,in databases,equivalent of CIS 340
Choose,12 Credit,s
Integrated,Business Experience,CERT
Students,must earn a minimum 2.0,C
Integrated,Engineering,BSE
Calculus,and Differential Equations,16 credits
General,Physics,calculus-based
Additional,"math and science courses, including chemistry,",8 credits
"engineering,","statics, dynamics and lab-based electric circuits",13 credits
English,Composition,4 credits
•,Grades of 1.67,“C-”
the,Composition,ENG 101
Economics,Course Choose 3 Credit,s
Communication,Choose 3 - 4 Credit,s
Chemistry,Choose 3 - 5 Credit,s
Intro,to Engineering Choose 3 Credit,s
Circuit,Analysis Choose 3 Credit,s
Circuits,Laboratory Choose 1 Credit,s
Mathematics,Choose 4 Credit,s
Biology,Choose 4 Credit,s
Thesis,or Capstone Design Choose 3 Credit,s
Broad,Focus Choose 16 Credit,s
Mechanical,Focus Choose 16 Credit,s
Electrical,Focus Choose 16 Credit,s
Other,Focus Areas Choose 16 Credit,s
Integrated,Science and Technology,BS
Integrated,Science and Engineering,ISAT
The,degree matches well with any Associate of Science,AS
Technical,Area 1,STEM-related
HASS,Area 2,Application
Interdisciplinary,Humanities,BA
a,minimum cumulative GPA of 2.00,“C”
Supporting,Electives Choose 8 Credit,s
Humanities,Electives Choose 16 Credit,s
Choose,8 Credit,s
Core,Choose 20 Credit,s
Western,Choose 4 Credit,s
Global,Choose 4 Credit,s
Perspectives,and Traditions Choose 4 Credit,s
Comparative,Studies Choose 4 Credit,s
Capstone,Choose 4 Credit,s
Interdisciplinary,Studies,BS
Discipline,One Choose 15 Credit,s
Discipline,Two Choose 15 Credit,s
Discipline,Three Choose 15 Credit,s
Lower-division,courses,100-200 level
International,Business,BS
Minimum,cumulative,including Transfer
Completion,of the following courses with a minimum grade of C,2.0
point,average of 2.0,“C”
complete,at least 50%,one-half
at,the upper-division,300-400
Ethics,Requirement Choose 3 Credit,s
Required,of all College of Business Majors Choose 34 Credit,s
Required,of all International Business Majors Choose 18 Credit,s
Choose,6 Credit,s
Choose,6 Credit,s
Choose,6 Credit,s
Choose,3 - 4 Credit,s
point,average of 2.0,“C”
complete,at least 50%,one-half
Choose,12 Credit,s
International,Relations,BA
Comparative,Politics Choose 4 Credit,s
Choose,16 - 32 Credit,s
Interdisciplinary,Choose 0 - 16 Credit,s
details.,Choose 8 credit,s
Comparative,Politics Choose 4 Credit,s
Choose,3 Credit,s
For,Majors in CIS Department Choose 8 Credit,s
For,Majors from another department Choose 8 Credit,s
Internet,of Things,CERT
Main,Office:,507
professional,"educators in K-12, middle",5-12
•,Art Education,K-12
•,Business Education,5-12; Partnership with Winona State
•,Chemistry Teaching*,9-12
•,Earth Science Teaching*,5-12
•,Family Consumer Science Education,5-12
•,French Education,K-12
•,German Education,K-12
•,Health and Physical Education,K-12
•,Life Science Teaching*,5-12
•,Mathematics Teaching,5-12
•,Music Education: Instrumental/General Music,K-12
•,Music Education: Vocal/General Music,K-12
•,Physics Teaching*,5-12
•,Spanish Teaching,K-12
•,Teaching English as a Second Language,K-12
will,qualify for two licenses,1
and,Standards Board,PELSB
HLTH,240 Drug Education,3
Required,Professional Education,30 credits
KSP,220W Human Relations in a Multicultural Society,3
KSP,222 Introduction to the Learner and Learning,2
KSP,202 Technology Integration in the Classroom,1
KSP,330 Planning and Instruction in the Classroom,3
KSP,334 Assessment and Evaluation,3
and,Communities,3
Inclusive,Classroom,3
KSP,464 Professional Seminar,1
For,5-12 majors - KSP 477 5-12 Student Teaching,11
For,K-12 majors - KSP 476 K-12 Student Teaching,11
Note:,Double licensure majors also enroll in KSP 482,6
Foundation,Courses Choose 6 - 8 Credit,s
Extended,Study Courses Choose 9 - 10 Credit,s
Main,Office,507
A,student’s grade-point average,GPA
Admission,Test,LSAT
Liberal,Arts and Sciences,AA
Choose,16 Credit,s
Life,Science Teaching,5-12
The,BS Life Science Teaching,5-12
The,BS Life Science Teaching,5-12
Completed,General Education Goal Area 4,Mathematics
Courses,leading to a degree in BS Life Science Teaching,5-12
Math,Requirement Choose 3 - 4 Credit,s
Independent,Study Choose 1 Credit,s
Choose,4 Credit,s
of,English must complete at least 50%,half
Department,of English may earn no more than 33%,one-third
Choose,12 Credit,s
in,the Department of English must complete at least 50%,half
the,Department of English may earn no more than 33%,one-third
Cultural,Diversity Choose 2 - 4 Credit,s
World,Literature Choose 4 Credit,s
Major,Author Choose 4 Credit,s
Electives,Choose 12 - 14 Credit,s
Choose,8 credit,s
Minimum,cumulative,including Transfer
Completion,of the following courses with a minimum grade of C,2.0
grade,point average of 2.0,“C”
upper,division,300-400
College,of Business must complete at least 50%,one-half
Ethics,Requirement Choose 3 Credit,s
Choose,8 Credit,s
Required,of all College of Business majors: Choose 34 Credit,s
Choose,12 Credit,s
MGMT,473 Enterprise Resource Planning,ERP
Minimum,cumulative,including Transfer
Completion,of the following courses with a minimum grade of C,2.0
minimum,grade point average of 2.0,“C”
upper,division,300-400
College,of Business must complete at least 50%,one-half
Ethics,Requirement Choose 3 Credit,s
Choose,8 Credit,s
Required,of all College of Business majors: Choose 34 Credit,s
Choose,6 Credit,s
Management,Information Systems,BS
Cluster,1: Integrated Business Experience,IBE
IBE,Curriculum Choose 12 Credit,s
Cluster,1 Electives - Choose 3 Credit,s
MGMT,473 Enterprise Resource Planning,ERP
Business,Core - Choose 9 Credit,s
Cluster,2 Electives - Choose 6 Credit,s
MGMT,473 Enterprise Resource Planning,ERP
Choose,12 Credit,s
Or,any upper-division course,s
Manufacturing,Engineering Technology,BS
this,bulletin with a grade of “C”,2.0
CMST,- Choose 3 Credit,s
Minimum,cumulative,including Transfer
Completion,of the following courses with a minimum grade of “C”,2.0
cumulative,grade point average of 2.0,“C”
complete,at least 50%,one-half
at,the upper division,300-400
Ethics,Requirement - Choose 3 Credit,s
Required,of all College of Business Majors - Choose 34 Credit,s
Required,of all Marketing Majors - Choose 21 Credit,s
Choose,6 Credit,s
cumulative,grade point average of 2.0,“C”
complete,at least 50%,one-half
Required,Courses for COB Majors: Choose 6 Credit,s
Required,Courses for Non-COB Majors: Choose 9 Credit,s
Elective,Courses for COB Majors: Choose 12 Credit,s
Elective,Courses for Non-COB Majors: Choose 9 Credit,s
Mathematics,majors or minors must earn a grade of “C”,2.0
Accelerated,Combined Degree,BS and MA/MS
the,design of an accelerated program of study,generally 5 years
Choose,12 Credit,s
Choose,8 credit,s
Mathematics,majors or minors must earn a grade of “C”,2.0
Accelerated,Combined Degree,BS and MA/MS
the,design of an accelerated program of study,generally 5 years
Choose,eleven,11
Applied,Mathematics - Choose 0 - 12 Credit,s
Algebra,- Choose 0 - 12 Credit,s
"Analysis,",Geometry and Topology - Choose 0 - 12 Credit,s
Statistics,and Finance - Choose 0 - 12 Credit,s
Choose,0 - 10 Credit,s
Mathematics,Teaching,BS
Mathematics,majors or minors must earn a grade of “C”,2.0
Mechanical,Engineering,BSME
Required,Special General Education,23 credits
Choose,3 - 4 Credit,s
Mechanical,Engineering Electives - Choose 6 Credit,s
Math/Science,Electives - Choose 4 Credit,s
Media,Studies,BA
Internship,Requirements,"COMM 497, COMM 498"
Choose,8 Credit,s
Choose,12 Credit,s
Choose,8 credit,s
must,take the Medical College Admission Test,MCAT
General,Biology -,8 credits minimum
Physics,with laboratory,8 credits minimum
English,or literature,one year
Social,"and Behavior Sciences, and Humanities -",18 credits minimum
Choose,12 Credit,s
American,Board of Funeral Service Education,ABFSE
MATH,112 College Algebra,4
CIS,101 Introduction to Information Systems,3
ACCT,200 Financial Accounting,3
BIOL,220 Human Anatomy,4
ENG,101 Composition,4
BIOL,100 Our Natural World,4
BIOL,105 General Biology I,4
CHEM,100 Chemistry in Society,4
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
CHEM,201 General Chemistry I,5
STAT,154 Elementary Statistics,4
PSYC,201 Statistics for Psychology,4
SOC,101 Introduction to Sociology,3
SOC,101W Introduction to Sociology,3
COMM,100 Fundamentals of Communication,3
COMM,101W Interpersonal Communication,4
HLTH,101 Health & the Environment,3
HLTH,321 Medical Terminology,3
Museum,Studies,CERT
Choose,6 Credit,s
Music,History 1 - Choose 3 Credit,s
Music,History 2 - Choose 3 Credit,s
Applied,Lessons - Choose 4 - 14 Credit,s
Ensembles,- Choose 4 - 12 Credit,s
Lower,Level Courses - Choose 6 - 18 Credit,s
Upper,Level Courses - Choose 15 - 27 Credit,s
MUSC,414 Arranging,instrumentation/orchestration
Choose,8 credit,s
Music,History 1 - Choose 3 Credit,s
Music,History 2 - Choose 3 Credit,s
Choose,8 credit,s
Lessons,- Choose 20 Credit,s
Ensemble,- Choose 11 Credit,s
Lessons,- Choose 24 Credit,s
Ensemble,- Choose 8 Credit,s
Junior,Capstone - Choose 1 Credit,s
Lessons,- Choose 20 Credit,s
Ensemble,- Choose 12 Credit,s
Music,Education,BS
Choose,9 Credit,s
Private,Instruction - Choose 7 Credit,s
Ensembles,- Choose 7 Credit,s
Music,History 1 - Choose either the writing intensive,W
Music,History 2 - Choose either the writing intensive,W
Music,Education,BS
Complete,all courses below - Choose 9 Credit,s
Private,Instruction - Choose 7 Credit,s
Ensembles,- Choose 7 Credit,s
Music,History 1 - Choose either the writing intensive,W
Music,History 2 - Choose either the writing intensive,W
Music,Industry,BS
Choose,16 Credit,s
Choose,8 Credit,s
Ensemble,- Choose 2 Credit,s
Private,Lessons - Choose 2 Credit,s
Academics,- Choose 8 Credit,s
Choose,4 Credit,s
Networking,Technologies,CERT
experience,in databases,equivalent of CIS 340
Choose,12 Credit,s
Non-Profit,Leadership,CERT
Program,Planning and Evaluation - Choose 3 - 4 Credit,s
Financial,Management and Development - Choose 3 Credit,s
Program,Administration - Choose 3 Credit,s
Internship,- Choose 3 Credit,s
Program,Planning and Evaluation - Choose 3 - 6 Credit,s
Financial,Management and Development - Choose 3 - 6 Credit,s
Program,Administration - Choose 3 - 6 Credit,s
Internship,- Choose 3 - 6 Credit,s
examination,as registered nurses,RNs
considered,"one attempt, and a",-0.33
Academic,Skills,TEAS
based,on successful completion of the prerequisite nursing course,s
from,a nursing course or required related course,s
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Nutrition,and Dietetics,BS
Educational,Model,FEM
student,to become a Registered Dietitian Nutritionist,RDN
A,C or better,no C-
CHEM,111 Chemistry of Life Process Part II,Organic & Biochemistry
Occupational,Therapy,Pre-Occupational Therapy
the,major,including cumulative and science GPA
•,BIOL 201 Anatomy and Physiology 1,4 credits
Anatomy,and Physiology 2,4 credits
Human,Anatomy,4 credits
•,STAT 154 Elementary Statistics,4 credits
•,"CHEM 104, or 106, or 111, or 201",3-5 credits
•,PSYC 101 Introduction to Psychological Science,4 credits
•,PSYC 343 Introduction to Developmental Psychology,4 credits
KSP,235 Human Development,3 credits
•,PSYC 455 Abnormal Psychology,4 credits
•,SOC 101 Introduction to Sociology,4 credits
•,HLTH 321 Medical Terminology,3 credits
in,Health Careers,1 credit
Open,Studies,BS
Minnesota,Transfer Curriculum,MTC
6.,No more than 25% of total semester credits are Pass,P
No,Credit,NC
7.,Earn a cumulative grade point average,GPA
Minnesota,Transfer Curriculum,MTC
Earn,40 semester credit hours in upper-division,300-400
BIOL,220 Human Anatomy,4
BIOL,270 Microbiology,4
BIOL,330 Principles of Human Physiology,4
CHEM,201 General Chemistry I,5
CHEM,202 General Chemistry II,5
CHEM,322 Organic Chemistry I,4
CHEM,323 Supplemental Organic Functional Group Chemistry,1
CHEM,360 Principles of Biochemistry,4
ENG,101 Composition,4
ENG,271W Technical Communication,4
MATH,112 College Algebra,4
MATH,113 Trigonometry,3
MATH,115 Precalculus Mathematics,4
MATH,121 Calculus I,4
PHYS,211 Principles of Physics I,4
PHYS,212 Principles of Physics II,4
PSYC,101 Introduction to Psychological Science,4
STAT,154 Elementary Statistics,4
majoring,in Biomedical Sciences,BS
College,Admissions Test,MCAT
Required,General Education,12-15 credits
ENG,101 Composition,4
ENG,201W Intermediate Writing,4
MATH,112 College Algebra,4
MATH,113 Trigonometry,3
MATH,115 Pre-Calculus,4
PSYC,101 Introduction to Psychological Science,4
SOC,101 Introduction to Sociology,3
Required,for Major,34 credits
BIOL,105 General Biology I,4
BIOL,106 General Biology II,4
CHEM,201 General Chemistry I,5
CHEM,202 General Chemistry II,5
CHEM,322 Organic Chemistry I,4
CHEM,324 Organic Chemistry II,3
CHEM,325 Organic Chemistry II Lab,1
CHEM,360 Principles of Biochemistry,4
CHEM,460 Biochemistry II,3
PHYS,211 Principles of Physics I,4
PHYS,212 Principles of Physics II,4
Required,Electives,40-43 credits
often,major in Biomedical Sciences,BS
Pharmacy,College Admission Test,PCAT
BIOL,105 General Biology I,4
BIOL,220 Human Anatomy,4
BIOL,270 Microbiology,4
BIOL,330 Principles of Human Physiology,4
CHEM,201 General Chemistry I,5
CHEM,202 General Chemistry II,5
CHEM,360 Principles of Biochemistry,4
BIOL,211 Genetics,4
BIOL,320 Cell Biology,4
BIOL,479 Molecular Biology,4
COMM,102 Public Speaking,3
COMM,101W Interpersonal Communications,4
ECON,202 Principles of Microeconomics,3
ENG,201W Intermediate Writing,4
ENG,271W Technical Communication,4
ENG,301W Advanced Writing,4
MATH,121 Calculus I,4
PHYS,221 General Physics I,4
PHYS,211 Principles of Physics I,4
PHYS,212 Principles of Physics II,4
PSYC,101 Introduction to Psychological Science,4
STAT,154 Elementary Statistics,4
STAT,354 Concepts of Probability & Statistics,4
MATH,354 Concepts of Probability & Statistics,4
Logic,Requirement - Choose 3 Credit,s
Cluster,1: History of Philosophy - Choose 3 Credit,s
Cluster,3: Philosophy of Science - Choose 3 Credit,s
Cluster,5: Aesthetics - Choose 3 Credit,s
Choose,9 Credit,s
Choose,8 credit,s
A,minor is required. Any minor,outside Philosophy
Choose,9 Credit,s
"Philosophy,",Politics and Economics,BA
Choose,3 Credit,s
Choose,3 Credit,s
Choose,4 Credit,s
Choose,4 Credit,s
Choose,3 - 4 Credit,s
Economics,Electives - Choose 15 Credit,s
Philosophy,Electives - Choose 6 Credit,s
Political,Science Electives - Choose 8 Credit,s
Choose,3 Credit,s
Choose,8 credit,s
"Philosophy,",Politics and Economics,BA
Choose,3 Credit,s
Choose,3 Credit,s
Choose,4 Credit,s
Choose,4 Credit,s
Choose,3 - 4 Credit,s
Choose,3 Credit,s
Choose,15 Credit,s
Choose,8 Credit,s
Choose,6 Credit,s
Choose,8 credit,s
"Philosophy,",Politics and Economics,BA
Choose,3 Credit,s
Choose,3 Credit,s
Choose,4 Credit,s
Choose,4 Credit,s
Choose,3 - 4 Credit,s
Choose,4 Credit,s
Choose,4 Credit,s
Choose,12 Credit,s
Choose,3 Credit,s
Choose,6 Credit,s
Choose,6 Credit,s
Choose,8 credit,s
Physical,Therapy,Pre-Physical Therapy
the,major,including GPA
BIOL,105 General Biology I,4 credits
BIOL,106 General Biology II,4 credits
BIOL,201 Anatomy and Physiology 1,4 credits
and,Physiology 2,4 credits
PHYS,211 Principles of Physics I,4 credits
PHYS,212 Principles of Physics II,4 credits
MATH,112 College Algebra,4 credits
credits),or MATH 115 Precalculus,4 credits
STAT,154 Elementary Statistics,4 credits
CHEM,201 General Chemistry I,5 credits
CHEM,202 General Chemistry II,5 credits
PSYC,101 Introduction to Psychological Science,4 credits
KSP,235 Human Development,3 credits
PSYC,455 Abnormal Psychology,4 credits
SOC,101 Introduction to Sociology,4 credits
HLTH,321 Medical Terminology,3 credits
Choose,either CIS 122,4 credits
EE,240,1 credit
Required,Electives - Choose 4 Credit,s
hours,and a minimum cumulative GPA of 2.00,“C”
Choose,2 - 4 Credit,s
Physics,Teaching,BS
Choose,2 Credit,s
Choose,2 Credit,s
Physics,electives - Choose 8 Credit,s
Podiatric,Medicine and Surgery,Pre-Podiatric Medicine and Surgery
Required,General Education,78 credits
ENG,101 Composition,4
ENG,201W Intermediate Writing,4
PSYC,101 Introduction to Psychological Science,4
SOC,101 Introduction to Sociology,3
Recommended,Support Courses,4-7 credits
MATH,112 College Algebra,4
MATH,113 Trigonometry,3
MATH,115 Precalculus Mathematics,4
Required,for Majors,35 credits
BIOL,105 General Biology I,4
BIOL,106 General Biology II,4
CHEM,201 General Chemistry I,5
CHEM,202 General Chemistry II,5
CHEM,322 Organic Chemistry I,4
CHEM,324 Organic Chemistry II,3
CHEM,325 Organic Chemistry II Lab,1
CHEM,360 Principles of Biochemistry,4
CHEM,460 Biochemistry II,3
PHYS,211 Principles of Physics I,4
PHYS,212 Principles of Physics II,4
Required,Electives,40-43 credits
Policing,Studies,BS
Experiential,Diverse Cultures Choose 3 - 4 Credit,s
"Values,","Ethics, and Critical Thinking Choose 3 Credit",s
Diversity,and Human Relations Choose 3 - 4 Credit,s
Diversity,and Social Justice in Society Choose 3 - 4 Credit,s
Social,and Political Perspectives Choose 6 - 8 Credit,s
Lower,Division Core Courses - Choose 16 Credit,s
Upper,Division Core Courses - Choose 28 Credit,s
Community,Engagement - Choose 2 Credit,s
Required,Physical Fitness Electives - Choose 1 - 3 Credit,s
Program,Restricted Electives - Choose 6 Credit,s
Policing,Studies,CERT
Peace,Officer Standard and Training,POST
Choose,12 Credit,s
Political,Science,BA
Credit,Limits. No more than eight,8
complete,at least,16
credit,hours). Within the other two,non-concentration
at,least,4
credit,hours total). A total of,24
Choose,8 Credit,s
of,electives at upper division level,"300 level or above, two courses"
the,areas of comparative politics/international relations,Area 2
political,theory/public law,Area 3
Choose,8 credit,s
Political,Science,BS
Credit,Limits. No more than eight,8
Choose,8 Credit,s
science,course,s
Choose,20 Credit,s
Post,Bac Communication Sciences & Disorders,CERT
Restricted,Electives - Choose 9 Credit,s
Restricted,Electives - Choose 22 Credit,s
Professional,Sales,CERT
of,business-to-business selling,B2B
Students,may transfer in MRKT 210,Principles of Marketing
Students,must earn a minimum 2.0 GPA,C grade
Project-based,Engineering,CERT
Grades,of 1.67,“C-”
Engineering,Design - Choose 3 Credit,s
Professionalism,- Choose 3 Credit,s
Choose,0 - 2 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 6 Credit,s
Choose,0 - 2 Credit,s
Choose,0 - 4 Credit,s
Repeatable,Courses - Choose 0 - 8 Credit,s
completion,of PSYC 101,Intro to Psych Science
than,“C-”,or P
of,the social studies BS,teaching
Capstone,- Choose 4 Credit,s
credits,at the upper level,300- or 400-level
Choose,12 Credit,s
Public,Relations,BS
Internship,Requirements,"COMM 497, COMM 498"
Choose,16 Credit,s
Recreation,and Parks Leadership Studies,BS
Completion,of all other required RPLS coursework with a “C”,2.0
Choose,12 Credit,s
Recreation,and Parks Leadership Studies,BS
Completion,of all other required RPLS coursework with a “C”,2.0
Recreation,and Leadership Management - Choose 36 Credit,s
Choose,12 Credit,s
Choose,9 Credit,s
Renewable,Energy,CERT
a,technical Associate of Science,AS
RN,Baccalaureate Completion,BS
registered,nurse,RN
a,bachelor of science,BS
A,minimum career grade point average,GPA
Maintain,a minimum of a “C” average,2.0 GPA
Scandinavian,Studies,BA
Norwegian,Language,16 credits
Swedish,Language,10-16 credits
Choose,13 - 19 Credit,s
Choose,11 Credit,s
Science,Teaching,K-12
Biology,Teaching,5-12
Chemistry,Teaching,9-12
Earth,Science Teaching,5-12
Physics,Teaching,5-12
Completed,General Education Goal Area 4,Mathematics
Choose,3 - 4 Credit,s
Social,Studies,BS
Choose,26 Credit,s
Choose,1 - 14 Credit,s
Anthropology,- Choose 24 Credit,s
Social,Studies,BS
Choose,26 Credit,s
Choose,1 - 14 Credit,s
Economics,- Choose 24 Credit,s
Social,Studies,BS
Choose,26 Credit,s
Choose,1 - 14 Credit,s
Ethnic,Studies - Choose 24 Credit,s
Social,Studies,BS
Choose,26 Credit,s
Choose,1 - 14 Credit,s
Gender,& Women’s Studies - Choose 24 Credit,s
Social,Studies,BS
A,minimum of 27 credits,of which 17 need to be upper division
Choose,26 Credit,s
Choose,1 - 14 Credit,s
Geography,- Choose 24 Credit,s
Social,Studies,BS
Choose,26 Credit,s
Choose,1 - 14 Credit,s
History,- Choose 24 Credit,s
Social,Studies,BS
Choose,26 Credit,s
Choose,1 - 14 Credit,s
Political,Science - Choose 24 Credit,s
Social,Studies,BS
SOST,450,KSP Level 3
Choose,26 Credit,s
Choose,1 - 14 Credit,s
Psychology,- Choose 24 Credit,s
Social,Studies,BS
Choose,26 Credit,s
Choose,1 - 14 Credit,s
Sociology,-Choose 24 Credit,s
Social,Studies Teaching,BS
SOST,450,KSP Level 3
U.S.,History to 1877 - Choose 4 Credit,s
U.S.,History Since 1877 -Choose 4 Credit,s
Expansion,Course - Choose 3 Credit,s
Emphasis,Restricted Electives - Choose 4 Credit,s
Choose,11 Credit,s
Social,Studies Teaching,BS
SOST,450,KSP Level 3
Choose,3 - 4 Credit,s
Choose,3 - 4 Credit,s
Diversity,Elective - Choose 3 - 4 Credit,s
Economics,Emphasis - Choose 12 Credit,s
Social,Studies Teaching,BS
in,SOST 450,KSP Level 3
US,History to 1877 - Choose 3 - 4 Credit,s
US,History Since 1877 - Choose 3 - 4 Credit,s
Diversity,Elective - Choose 3 - 4 Credit,s
Geography,Emphasis - Choose 12 - 14 Credit,s
Cultural,- Choose 3 - 4 Credit,s
Physical,- Choose 3 - 4 Credit,s
Regional,- Choose 3 - 4 Credit,s
Techniques,- Choose 3 - 4 Credit,s
Social,Studies Teaching,BS
SOST,450,KSP Level 3
U.S.,History to 1877 Choose 4 Credit,s
U.S.,History Since 1877 - Choose 4 Credit,s
Expansion,Course - Choose 3 Credit,s
Choose,15 Credit,s
Social,Studies Teaching,BS
SOST,450,KSP Level 3
US,History to 1877 - Choose 3 - 4 Credit,s
US,History Since 1877 - Choose 3 - 4 Credit,s
Diversity,Elective - Choose 3 - 4 Credit,s
Political,Science Emphasis - Choose 15 - 16 Credit,s
Choose,3 - 4 Credit,s
Choose,3 - 4 Credit,s
Choose,3 - 4 Credit,s
Choose,3 - 4 Credit,s
Social,Studies Teaching,BS
SOST,450,KSP Level 3
US,History to 1877 - Choose 3 - 4 Credit,s
US,History Since 1877 - Choose 3 - 4 Credit,s
Diversity,Elective - Choose 3 - 4 Credit,s
Biological,- Choose 4 Credit,s
Cognition,- Choose 4 Credit,s
Developmental,- Choose 4 Credit,s
Social/Cultural,- Choose 3 - 4 Credit,s
Social,Studies Teaching,BS
SOST,450,KSP Level 3
US,History to 1877 - Choose 3 - 4 Credit,s
US,History Since 1877 - Choose 3 - 4 Credit,s
Diversity,& Inclusion - Choose 3 - 4 Credit,s
Sociology:,Social Inequality and Social Change - Choose 8 Credit,s
Sociology:,Social Institutions and Interactions - Choose 8 Credit,s
Choose,4 Credit,s
Choose,4 Credit,s
Choose,3 Credit,s
Choose,4 Credit,s
Choose,4 Credit,s
Choose,3 Credit,s
Social,Work,BSSW
"Values,","Ethics, and Critical Thinking - Choose 3 - 4 Credit",s
Biological,Systems - Choose 3 - 4 Credit,s
Diversity,and Social Justice A - Choose 3 - 4 Credit,s
Diversity,and Social Justice B - Choose 3 - 4 Credit,s
"Social,","Economic, and Political Perspectives - Choose 6 Credit",s
Statistical,Analysis Methods - Choose 3 - 4 Credit,s
Human,Development - Choose 3 - 4 Credit,s
Psychology,- Choose 4 Credit,s
Choose,3 Credit,s
Choose,3 - 4 Credit,s
Theoretical,Electives - Choose 4 Credit,s
Research,Capstone Electives - Choose 4 Credit,s
Career,Connections - Choose 4 Credit,s
Take,3 Courses - Choose 11 - 12 Credit,s
Choose,4 Credit,s
Choose,18 - 20 Credit,s
Software,Development,CERT
analysis,and design,equivalent of CIS 380
experience,in databases,equivalent of CIS 340
Choose,12 Credit,s
Choose,4 Credit,s
Software,Engineering,BS
300-,and 400-level courses in Software Engineering,SE
Communications,2 - Choose 3 - 4 Credit,s
Economics,- Choose 3 Credit,s
Science,Electives - Choose 8 - 10 Credit,s
SE,301,Core
SE,302,Core
SE,303,Core
Language,- Choose 8 Credit,s
Foundations,- Choose 4 Credit,s
Cultural,Studies and Linguistics - Choose 24 - 28 Credit,s
Advanced,Cultural Studies and Linguistics - Choose 8 - 12 Credit,s
Choose,0 - 8 Credit,s
1),Take Span 201,Prerequisites: SPAN 102 or Novice High on
2),Take a placement test,contact the department to take the test
Required,for minor - Choose 4 Credit,s
2),Take a placement test,contact the Spanish Program to take the
Electives,for Spanish minor - Choose 12 - 16 Credit,s
Spanish,Teaching,BS
Language,- Choose 8 Credit,s
Core,coursework - Choose 12 Credit,s
WLC,462 Foreign Languages in the Elementary School,FLES
Conversation,- Choose 3 - 6 Credit,s
Language/Linguistics,- Choose 3 - 6 Credit,s
Reading,- Choose 3 - 6 Credit,s
Spanish,Peninsular Civilization - Choose 3 - 6 Credit,s
Spanish,American Civilization - Choose 3 - 6 Credit,s
Spanish,Peninsular Literature - Choose 3 - 6 Credit,s
Spanish,American Literature - Choose 3 - 6 Credit,s
Choose,1 - 11 Credit,s
Choose,3 Credit,s
SPED:,Autism/Emotional Behavioral Disorders,BS
professional,responsibilities of teachers,"e.g., parent conferences"
The,Office of Field and International Experience,OFIE
Choose,3 Credit,s
Sport,Management,BS
Choose,3 Credit,s
Choose,3 Credit,s
Choose,3 Credit,s
Choose,3 Credit,s
Choose,6 Credit,s
Choose,9 Credit,s
Statistics,majors and minors must earn a grade of “C”,2.0
Applied,Mathematics Track - Choose 16 Credit,s
Biological,Science Track - Choose 16 Credit,s
Information,Technology Track - Choose 16 Credit,s
Choose,3 - 4 Credit,s
Teaching,English as a Foreign Language,CERT
The,Teaching English as a Foreign Language,TEFL
in,the Department of English must complete at least 50%,half
the,Department of English may earn no more than 33%,one-third
Choose,8 Credit,s
The,minor in Teaching English to Speakers of Other Languages,TESOL
